lib	class	type	name	resolution	detail
rss	DublinCoreModel	#	dc_publisher=	renamed-class:RSS::DublinCoreModel	RSS::DublinCoreModel 自体への method_defined? では不在だが、これを include する具象クラス(RSS::Atom::Feed, RSS::Rss::Channel::Item, RSS::Atom::Entry, RSS::TaxonomyTopicModel::TaxonomyTopic, RSS::RDF::Channel, RSS::ImageItemModel::ImageItem, RSS::Rss::Channel, RSS::RDF::Textinput, RSS::RDF::Item, RSS::RDF::Image, RSS::ImageFaviconModel::ImageFavicon, RSS::Atom::Feed::Entry)では実在(append_features 等の動的注入によるものと推定)
rss	DublinCoreModel	#	dc_publishers	renamed-class:RSS::DublinCoreModel	RSS::DublinCoreModel 自体への method_defined? では不在だが、これを include する具象クラス(RSS::Atom::Feed, RSS::Rss::Channel::Item, RSS::Atom::Entry, RSS::TaxonomyTopicModel::TaxonomyTopic, RSS::RDF::Channel, RSS::ImageItemModel::ImageItem, RSS::Rss::Channel, RSS::RDF::Textinput, RSS::RDF::Item, RSS::RDF::Image, RSS::ImageFaviconModel::ImageFavicon, RSS::Atom::Feed::Entry)では実在(append_features 等の動的注入によるものと推定)
rss	DublinCoreModel	#	dc_relation	renamed-class:RSS::DublinCoreModel	RSS::DublinCoreModel 自体への method_defined? では不在だが、これを include する具象クラス(RSS::Atom::Feed, RSS::Rss::Channel::Item, RSS::Atom::Entry, RSS::TaxonomyTopicModel::TaxonomyTopic, RSS::RDF::Channel, RSS::ImageItemModel::ImageItem, RSS::Rss::Channel, RSS::RDF::Textinput, RSS::RDF::Item, RSS::RDF::Image, RSS::ImageFaviconModel::ImageFavicon, RSS::Atom::Feed::Entry)では実在(append_features 等の動的注入によるものと推定)
rss	DublinCoreModel	#	dc_relation=	renamed-class:RSS::DublinCoreModel	RSS::DublinCoreModel 自体への method_defined? では不在だが、これを include する具象クラス(RSS::Atom::Feed, RSS::Rss::Channel::Item, RSS::Atom::Entry, RSS::TaxonomyTopicModel::TaxonomyTopic, RSS::RDF::Channel, RSS::ImageItemModel::ImageItem, RSS::Rss::Channel, RSS::RDF::Textinput, RSS::RDF::Item, RSS::RDF::Image, RSS::ImageFaviconModel::ImageFavicon, RSS::Atom::Feed::Entry)では実在(append_features 等の動的注入によるものと推定)
rss	DublinCoreModel	#	dc_relations	renamed-class:RSS::DublinCoreModel	RSS::DublinCoreModel 自体への method_defined? では不在だが、これを include する具象クラス(RSS::Atom::Feed, RSS::Rss::Channel::Item, RSS::Atom::Entry, RSS::TaxonomyTopicModel::TaxonomyTopic, RSS::RDF::Channel, RSS::ImageItemModel::ImageItem, RSS::Rss::Channel, RSS::RDF::Textinput, RSS::RDF::Item, RSS::RDF::Image, RSS::ImageFaviconModel::ImageFavicon, RSS::Atom::Feed::Entry)では実在(append_features 等の動的注入によるものと推定)
rss	DublinCoreModel	#	dc_rights	renamed-class:RSS::DublinCoreModel	RSS::DublinCoreModel 自体への method_defined? では不在だが、これを include する具象クラス(RSS::Atom::Feed, RSS::Rss::Channel::Item, RSS::Atom::Entry, RSS::TaxonomyTopicModel::TaxonomyTopic, RSS::RDF::Channel, RSS::ImageItemModel::ImageItem, RSS::Rss::Channel, RSS::RDF::Textinput, RSS::RDF::Item, RSS::RDF::Image, RSS::ImageFaviconModel::ImageFavicon, RSS::Atom::Feed::Entry)では実在(append_features 等の動的注入によるものと推定)
rss	DublinCoreModel	#	dc_rights=	renamed-class:RSS::DublinCoreModel	RSS::DublinCoreModel 自体への method_defined? では不在だが、これを include する具象クラス(RSS::Atom::Feed, RSS::Rss::Channel::Item, RSS::Atom::Entry, RSS::TaxonomyTopicModel::TaxonomyTopic, RSS::RDF::Channel, RSS::ImageItemModel::ImageItem, RSS::Rss::Channel, RSS::RDF::Textinput, RSS::RDF::Item, RSS::RDF::Image, RSS::ImageFaviconModel::ImageFavicon, RSS::Atom::Feed::Entry)では実在(append_features 等の動的注入によるものと推定)
rss	DublinCoreModel	#	dc_rightses	renamed-class:RSS::DublinCoreModel	RSS::DublinCoreModel 自体への method_defined? では不在だが、これを include する具象クラス(RSS::Atom::Feed, RSS::Rss::Channel::Item, RSS::Atom::Entry, RSS::TaxonomyTopicModel::TaxonomyTopic, RSS::RDF::Channel, RSS::ImageItemModel::ImageItem, RSS::Rss::Channel, RSS::RDF::Textinput, RSS::RDF::Item, RSS::RDF::Image, RSS::ImageFaviconModel::ImageFavicon, RSS::Atom::Feed::Entry)では実在(append_features 等の動的注入によるものと推定)
rss	DublinCoreModel	#	dc_source	renamed-class:RSS::DublinCoreModel	RSS::DublinCoreModel 自体への method_defined? では不在だが、これを include する具象クラス(RSS::Atom::Feed, RSS::Rss::Channel::Item, RSS::Atom::Entry, RSS::TaxonomyTopicModel::TaxonomyTopic, RSS::RDF::Channel, RSS::ImageItemModel::ImageItem, RSS::Rss::Channel, RSS::RDF::Textinput, RSS::RDF::Item, RSS::RDF::Image, RSS::ImageFaviconModel::ImageFavicon, RSS::Atom::Feed::Entry)では実在(append_features 等の動的注入によるものと推定)
rss	DublinCoreModel	#	dc_source=	renamed-class:RSS::DublinCoreModel	RSS::DublinCoreModel 自体への method_defined? では不在だが、これを include する具象クラス(RSS::Atom::Feed, RSS::Rss::Channel::Item, RSS::Atom::Entry, RSS::TaxonomyTopicModel::TaxonomyTopic, RSS::RDF::Channel, RSS::ImageItemModel::ImageItem, RSS::Rss::Channel, RSS::RDF::Textinput, RSS::RDF::Item, RSS::RDF::Image, RSS::ImageFaviconModel::ImageFavicon, RSS::Atom::Feed::Entry)では実在(append_features 等の動的注入によるものと推定)
rss	DublinCoreModel	#	dc_sources	renamed-class:RSS::DublinCoreModel	RSS::DublinCoreModel 自体への method_defined? では不在だが、これを include する具象クラス(RSS::Atom::Feed, RSS::Rss::Channel::Item, RSS::Atom::Entry, RSS::TaxonomyTopicModel::TaxonomyTopic, RSS::RDF::Channel, RSS::ImageItemModel::ImageItem, RSS::Rss::Channel, RSS::RDF::Textinput, RSS::RDF::Item, RSS::RDF::Image, RSS::ImageFaviconModel::ImageFavicon, RSS::Atom::Feed::Entry)では実在(append_features 等の動的注入によるものと推定)
rss	DublinCoreModel	#	dc_subject	renamed-class:RSS::DublinCoreModel	RSS::DublinCoreModel 自体への method_defined? では不在だが、これを include する具象クラス(RSS::Atom::Feed, RSS::Rss::Channel::Item, RSS::Atom::Entry, RSS::TaxonomyTopicModel::TaxonomyTopic, RSS::RDF::Channel, RSS::ImageItemModel::ImageItem, RSS::Rss::Channel, RSS::RDF::Textinput, RSS::RDF::Item, RSS::RDF::Image, RSS::ImageFaviconModel::ImageFavicon, RSS::Atom::Feed::Entry)では実在(append_features 等の動的注入によるものと推定)
rss	DublinCoreModel	#	dc_subject=	renamed-class:RSS::DublinCoreModel	RSS::DublinCoreModel 自体への method_defined? では不在だが、これを include する具象クラス(RSS::Atom::Feed, RSS::Rss::Channel::Item, RSS::Atom::Entry, RSS::TaxonomyTopicModel::TaxonomyTopic, RSS::RDF::Channel, RSS::ImageItemModel::ImageItem, RSS::Rss::Channel, RSS::RDF::Textinput, RSS::RDF::Item, RSS::RDF::Image, RSS::ImageFaviconModel::ImageFavicon, RSS::Atom::Feed::Entry)では実在(append_features 等の動的注入によるものと推定)
rss	DublinCoreModel	#	dc_subjects	renamed-class:RSS::DublinCoreModel	RSS::DublinCoreModel 自体への method_defined? では不在だが、これを include する具象クラス(RSS::Atom::Feed, RSS::Rss::Channel::Item, RSS::Atom::Entry, RSS::TaxonomyTopicModel::TaxonomyTopic, RSS::RDF::Channel, RSS::ImageItemModel::ImageItem, RSS::Rss::Channel, RSS::RDF::Textinput, RSS::RDF::Item, RSS::RDF::Image, RSS::ImageFaviconModel::ImageFavicon, RSS::Atom::Feed::Entry)では実在(append_features 等の動的注入によるものと推定)
rss	DublinCoreModel	#	dc_title	renamed-class:RSS::DublinCoreModel	RSS::DublinCoreModel 自体への method_defined? では不在だが、これを include する具象クラス(RSS::Atom::Feed, RSS::Rss::Channel::Item, RSS::Atom::Entry, RSS::TaxonomyTopicModel::TaxonomyTopic, RSS::RDF::Channel, RSS::ImageItemModel::ImageItem, RSS::Rss::Channel, RSS::RDF::Textinput, RSS::RDF::Item, RSS::RDF::Image, RSS::ImageFaviconModel::ImageFavicon, RSS::Atom::Feed::Entry)では実在(append_features 等の動的注入によるものと推定)
rss	DublinCoreModel	#	dc_title=	renamed-class:RSS::DublinCoreModel	RSS::DublinCoreModel 自体への method_defined? では不在だが、これを include する具象クラス(RSS::Atom::Feed, RSS::Rss::Channel::Item, RSS::Atom::Entry, RSS::TaxonomyTopicModel::TaxonomyTopic, RSS::RDF::Channel, RSS::ImageItemModel::ImageItem, RSS::Rss::Channel, RSS::RDF::Textinput, RSS::RDF::Item, RSS::RDF::Image, RSS::ImageFaviconModel::ImageFavicon, RSS::Atom::Feed::Entry)では実在(append_features 等の動的注入によるものと推定)
rss	DublinCoreModel	#	dc_titles	renamed-class:RSS::DublinCoreModel	RSS::DublinCoreModel 自体への method_defined? では不在だが、これを include する具象クラス(RSS::Atom::Feed, RSS::Rss::Channel::Item, RSS::Atom::Entry, RSS::TaxonomyTopicModel::TaxonomyTopic, RSS::RDF::Channel, RSS::ImageItemModel::ImageItem, RSS::Rss::Channel, RSS::RDF::Textinput, RSS::RDF::Item, RSS::RDF::Image, RSS::ImageFaviconModel::ImageFavicon, RSS::Atom::Feed::Entry)では実在(append_features 等の動的注入によるものと推定)
rss	DublinCoreModel	#	dc_type	renamed-class:RSS::DublinCoreModel	RSS::DublinCoreModel 自体への method_defined? では不在だが、これを include する具象クラス(RSS::Atom::Feed, RSS::Rss::Channel::Item, RSS::Atom::Entry, RSS::TaxonomyTopicModel::TaxonomyTopic, RSS::RDF::Channel, RSS::ImageItemModel::ImageItem, RSS::Rss::Channel, RSS::RDF::Textinput, RSS::RDF::Item, RSS::RDF::Image, RSS::ImageFaviconModel::ImageFavicon, RSS::Atom::Feed::Entry)では実在(append_features 等の動的注入によるものと推定)
rss	DublinCoreModel	#	dc_type=	renamed-class:RSS::DublinCoreModel	RSS::DublinCoreModel 自体への method_defined? では不在だが、これを include する具象クラス(RSS::Atom::Feed, RSS::Rss::Channel::Item, RSS::Atom::Entry, RSS::TaxonomyTopicModel::TaxonomyTopic, RSS::RDF::Channel, RSS::ImageItemModel::ImageItem, RSS::Rss::Channel, RSS::RDF::Textinput, RSS::RDF::Item, RSS::RDF::Image, RSS::ImageFaviconModel::ImageFavicon, RSS::Atom::Feed::Entry)では実在(append_features 等の動的注入によるものと推定)
rss	DublinCoreModel	#	dc_types	renamed-class:RSS::DublinCoreModel	RSS::DublinCoreModel 自体への method_defined? では不在だが、これを include する具象クラス(RSS::Atom::Feed, RSS::Rss::Channel::Item, RSS::Atom::Entry, RSS::TaxonomyTopicModel::TaxonomyTopic, RSS::RDF::Channel, RSS::ImageItemModel::ImageItem, RSS::Rss::Channel, RSS::RDF::Textinput, RSS::RDF::Item, RSS::RDF::Image, RSS::ImageFaviconModel::ImageFavicon, RSS::Atom::Feed::Entry)では実在(append_features 等の動的注入によるものと推定)
rss	RSS::BaseTrackBackModel	#	trackback_about	not-found	RSS::BaseTrackBackModel は存在するが trackback_about はどの形(instance/singleton/const)でも存在しない / 4.0でも同様に not-found(RSS::BaseTrackBackModel は存在するが trackback_about はどの形(instance/singleton/const)でも存在しない)
rss	RSS::BaseTrackBackModel	#	trackback_about=	not-found	RSS::BaseTrackBackModel は存在するが trackback_about= はどの形(instance/singleton/const)でも存在しない / 4.0でも同様に not-found(RSS::BaseTrackBackModel は存在するが trackback_about= はどの形(instance/singleton/const)でも存在しない)
rss	RSS::BaseTrackBackModel	#	trackback_abouts	not-found	RSS::BaseTrackBackModel は存在するが trackback_abouts はどの形(instance/singleton/const)でも存在しない / 4.0でも同様に not-found(RSS::BaseTrackBackModel は存在するが trackback_abouts はどの形(instance/singleton/const)でも存在しない)
rss	RSS::BaseTrackBackModel	#	trackback_ping	not-found	RSS::BaseTrackBackModel は存在するが trackback_ping はどの形(instance/singleton/const)でも存在しない / 4.0でも同様に not-found(RSS::BaseTrackBackModel は存在するが trackback_ping はどの形(instance/singleton/const)でも存在しない)
rss	RSS::BaseTrackBackModel	#	trackback_ping=	not-found	RSS::BaseTrackBackModel は存在するが trackback_ping= はどの形(instance/singleton/const)でも存在しない / 4.0でも同様に not-found(RSS::BaseTrackBackModel は存在するが trackback_ping= はどの形(instance/singleton/const)でも存在しない)
rss	RSS::ContentModel	#	content_encoded	not-found	クラス自体は存在するが直接の method_defined? では不在(mixin/append_features 由来と推定)。RSS::ContentModel を include する具象クラス(RSS::Rss::Channel::Item, RSS::RDF::Item)では実際に機能している= ドキュメント自体は妥当な可能性が高い(自動チェックの限界) / 4.0でも同様に not-found(クラス自体は存在するが直接の method_defined? では不在(mixin/append_features 由来と推定)。RSS::ContentModel を include する具象クラス(RSS::RDF::Item, RSS::Rss::Channel::Item)では実際に機能している= ドキュメント自体は妥当な可能性が高い(自動チェックの限界))
rss	RSS::ContentModel	#	content_encoded=	not-found	クラス自体は存在するが直接の method_defined? では不在(mixin/append_features 由来と推定)。RSS::ContentModel を include する具象クラス(RSS::Rss::Channel::Item, RSS::RDF::Item)では実際に機能している= ドキュメント自体は妥当な可能性が高い(自動チェックの限界) / 4.0でも同様に not-found(クラス自体は存在するが直接の method_defined? では不在(mixin/append_features 由来と推定)。RSS::ContentModel を include する具象クラス(RSS::RDF::Item, RSS::Rss::Channel::Item)では実際に機能している= ドキュメント自体は妥当な可能性が高い(自動チェックの限界))
rss	RSS::ImageFaviconModel	#	image_favicon	not-found	クラス自体は存在するが直接の method_defined? では不在(mixin/append_features 由来と推定)。RSS::ImageFaviconModel を include する具象クラス(RSS::RDF::Channel)では実際に機能している= ドキュメント自体は妥当な可能性が高い(自動チェックの限界) / 4.0でも同様に not-found(クラス自体は存在するが直接の method_defined? では不在(mixin/append_features 由来と推定)。RSS::ImageFaviconModel を include する具象クラス(RSS::RDF::Channel)では実際に機能している= ドキュメント自体は妥当な可能性が高い(自動チェックの限界))
rss	RSS::ImageFaviconModel	#	image_favicon=	not-found	クラス自体は存在するが直接の method_defined? では不在(mixin/append_features 由来と推定)。RSS::ImageFaviconModel を include する具象クラス(RSS::RDF::Channel)では実際に機能している= ドキュメント自体は妥当な可能性が高い(自動チェックの限界) / 4.0でも同様に not-found(クラス自体は存在するが直接の method_defined? では不在(mixin/append_features 由来と推定)。RSS::ImageFaviconModel を include する具象クラス(RSS::RDF::Channel)では実際に機能している= ドキュメント自体は妥当な可能性が高い(自動チェックの限界))
rss	RSS::ImageItemModel	#	image_item	not-found	クラス自体は存在するが直接の method_defined? では不在(mixin/append_features 由来と推定)。RSS::ImageItemModel を include する具象クラス(RSS::RDF::Item)では実際に機能している= ドキュメント自体は妥当な可能性が高い(自動チェックの限界) / 4.0でも同様に not-found(クラス自体は存在するが直接の method_defined? では不在(mixin/append_features 由来と推定)。RSS::ImageItemModel を include する具象クラス(RSS::RDF::Item)では実際に機能している= ドキュメント自体は妥当な可能性が高い(自動チェックの限界))
rss	RSS::ImageItemModel	#	image_item=	not-found	クラス自体は存在するが直接の method_defined? では不在(mixin/append_features 由来と推定)。RSS::ImageItemModel を include する具象クラス(RSS::RDF::Item)では実際に機能している= ドキュメント自体は妥当な可能性が高い(自動チェックの限界) / 4.0でも同様に not-found(クラス自体は存在するが直接の method_defined? では不在(mixin/append_features 由来と推定)。RSS::ImageItemModel を include する具象クラス(RSS::RDF::Item)では実際に機能している= ドキュメント自体は妥当な可能性が高い(自動チェックの限界))
rss	RSS::RDF	#	rss_version=	not-found	RSS::RDF は存在するが rss_version= はどの形(instance/singleton/const)でも存在しない / 4.0でも同様に not-found(RSS::RDF は存在するが rss_version= はどの形(instance/singleton/const)でも存在しない)
rss	RSS::RDF::Channel::ImageFavicon	#	about	renamed-class:RSS::ImageFaviconModel::ImageFavicon	候補(# で一致): RSS::ImageFaviconModel::ImageFavicon, RSS::Maker::RSS10::Channel::ImageFavicon, RSS::Maker::Atom::Entry::Channel::ImageFavicon, RSS::Maker::Atom::Feed::Channel::ImageFavicon, RSS::Maker::RSS20::Channel::ImageFavicon, RSS::Maker::RSS091::Channel::ImageFavicon, RSS::Maker::RSS092::Channel::ImageFavicon / 追加 require: rss/taxonomy, rss/image, rss/content, rss/trackback, rss/syndication, rss/dublincore
rss	RSS::RDF::Channel::ImageFavicon	#	about=	renamed-class:RSS::ImageFaviconModel::ImageFavicon	候補(# で一致): RSS::ImageFaviconModel::ImageFavicon, RSS::Maker::RSS10::Channel::ImageFavicon, RSS::Maker::Atom::Entry::Channel::ImageFavicon, RSS::Maker::Atom::Feed::Channel::ImageFavicon, RSS::Maker::RSS20::Channel::ImageFavicon, RSS::Maker::RSS091::Channel::ImageFavicon, RSS::Maker::RSS092::Channel::ImageFavicon / 追加 require: rss/taxonomy, rss/image, rss/content, rss/trackback, rss/syndication, rss/dublincore
rss	RSS::RDF::Channel::ImageFavicon	#	date	renamed-class:RSS::ImageFaviconModel::ImageFavicon	候補(# で一致): RSS::ImageFaviconModel::ImageFavicon / 追加 require: rss/taxonomy, rss/image, rss/content, rss/trackback, rss/syndication, rss/dublincore
rss	RSS::RDF::Channel::ImageFavicon	#	date=	renamed-class:RSS::ImageFaviconModel::ImageFavicon	候補(# で一致): RSS::ImageFaviconModel::ImageFavicon / 追加 require: rss/taxonomy, rss/image, rss/content, rss/trackback, rss/syndication, rss/dublincore
rss	RSS::RDF::Channel::ImageFavicon	#	image_size	renamed-class:RSS::ImageFaviconModel::ImageFavicon	候補(# で一致): RSS::ImageFaviconModel::ImageFavicon, RSS::Maker::RSS10::Channel::ImageFavicon, RSS::Maker::Atom::Entry::Channel::ImageFavicon, RSS::Maker::Atom::Feed::Channel::ImageFavicon, RSS::Maker::RSS20::Channel::ImageFavicon, RSS::Maker::RSS091::Channel::ImageFavicon, RSS::Maker::RSS092::Channel::ImageFavicon / 追加 require: rss/taxonomy, rss/image, rss/content, rss/trackback, rss/syndication, rss/dublincore
rss	RSS::RDF::Channel::ImageFavicon	#	image_size=	renamed-class:RSS::ImageFaviconModel::ImageFavicon	候補(# で一致): RSS::ImageFaviconModel::ImageFavicon, RSS::Maker::RSS10::Channel::ImageFavicon, RSS::Maker::Atom::Entry::Channel::ImageFavicon, RSS::Maker::Atom::Feed::Channel::ImageFavicon, RSS::Maker::RSS20::Channel::ImageFavicon, RSS::Maker::RSS091::Channel::ImageFavicon, RSS::Maker::RSS092::Channel::ImageFavicon / 追加 require: rss/taxonomy, rss/image, rss/content, rss/trackback, rss/syndication, rss/dublincore
rss	RSS::RDF::Channel::ImageFavicon	#	size	renamed-class:RSS::ImageFaviconModel::ImageFavicon	候補(# で一致): RSS::ImageFaviconModel::ImageFavicon, RSS::Maker::RSS10::Channel::ImageFavicon, RSS::Maker::Atom::Entry::Channel::ImageFavicon, RSS::Maker::Atom::Feed::Channel::ImageFavicon, RSS::Maker::RSS20::Channel::ImageFavicon, RSS::Maker::RSS091::Channel::ImageFavicon, RSS::Maker::RSS092::Channel::ImageFavicon, RSS::Maker::Atom::Entry::Channel::ImageFavicon::DublinCoreDates / 追加 require: rss/taxonomy, rss/image, rss/content, rss/trackback, rss/syndication, rss/dublincore
rss	RSS::RDF::Channel::ImageFavicon	#	size=	renamed-class:RSS::ImageFaviconModel::ImageFavicon	候補(# で一致): RSS::ImageFaviconModel::ImageFavicon, RSS::Maker::RSS10::Channel::ImageFavicon, RSS::Maker::Atom::Entry::Channel::ImageFavicon, RSS::Maker::Atom::Feed::Channel::ImageFavicon, RSS::Maker::RSS20::Channel::ImageFavicon, RSS::Maker::RSS091::Channel::ImageFavicon, RSS::Maker::RSS092::Channel::ImageFavicon / 追加 require: rss/taxonomy, rss/image, rss/content, rss/trackback, rss/syndication, rss/dublincore
rss	RSS::Rss::SkipDays	#	day	renamed-class:RSS::Rss::Channel::SkipDays	候補(# で一致): RSS::Rss::Channel::SkipDays / 追加 require: rss/taxonomy, rss/image, rss/content, rss/trackback, rss/syndication, rss/dublincore
rss	RSS::Rss::SkipDays	#	day=	renamed-class:RSS::Rss::Channel::SkipDays	候補(# で一致): RSS::Rss::Channel::SkipDays / 追加 require: rss/taxonomy, rss/image, rss/content, rss/trackback, rss/syndication, rss/dublincore
rss	RSS::Rss::SkipDays	#	days	renamed-class:RSS::Rss::Channel::SkipDays	候補(# で一致): RSS::Rss::Channel::SkipDays / 追加 require: rss/taxonomy, rss/image, rss/content, rss/trackback, rss/syndication, rss/dublincore
rss	RSS::Rss::SkipHours	#	hour	renamed-class:RSS::Rss::Channel::SkipHours	候補(# で一致): RSS::Rss::Channel::SkipHours / 追加 require: rss/taxonomy, rss/image, rss/content, rss/trackback, rss/syndication, rss/dublincore
rss	RSS::Rss::SkipHours	#	hour=	renamed-class:RSS::Rss::Channel::SkipHours	候補(# で一致): RSS::Rss::Channel::SkipHours / 追加 require: rss/taxonomy, rss/image, rss/content, rss/trackback, rss/syndication, rss/dublincore
rss	RSS::Rss::SkipHours	#	hours	renamed-class:RSS::Rss::Channel::SkipHours	候補(# で一致): RSS::Rss::Channel::SkipHours / 追加 require: rss/taxonomy, rss/image, rss/content, rss/trackback, rss/syndication, rss/dublincore
rss	RSS::SyndicationModel	#	sy_updateBase	not-found	クラス自体は存在するが直接の method_defined? では不在(mixin/append_features 由来と推定)。RSS::SyndicationModel を include する具象クラス(RSS::RDF::Channel)では実際に機能している= ドキュメント自体は妥当な可能性が高い(自動チェックの限界) / 4.0でも同様に not-found(クラス自体は存在するが直接の method_defined? では不在(mixin/append_features 由来と推定)。RSS::SyndicationModel を include する具象クラス(RSS::RDF::Channel)では実際に機能している= ドキュメント自体は妥当な可能性が高い(自動チェックの限界))
rss	RSS::SyndicationModel	#	sy_updateBase=	not-found	クラス自体は存在するが直接の method_defined? では不在(mixin/append_features 由来と推定)。RSS::SyndicationModel を include する具象クラス(RSS::RDF::Channel)では実際に機能している= ドキュメント自体は妥当な可能性が高い(自動チェックの限界) / 4.0でも同様に not-found(クラス自体は存在するが直接の method_defined? では不在(mixin/append_features 由来と推定)。RSS::SyndicationModel を include する具象クラス(RSS::RDF::Channel)では実際に機能している= ドキュメント自体は妥当な可能性が高い(自動チェックの限界))
rss	RSS::SyndicationModel	#	sy_updateFrequency	not-found	クラス自体は存在するが直接の method_defined? では不在(mixin/append_features 由来と推定)。RSS::SyndicationModel を include する具象クラス(RSS::RDF::Channel)では実際に機能している= ドキュメント自体は妥当な可能性が高い(自動チェックの限界) / 4.0でも同様に not-found(クラス自体は存在するが直接の method_defined? では不在(mixin/append_features 由来と推定)。RSS::SyndicationModel を include する具象クラス(RSS::RDF::Channel)では実際に機能している= ドキュメント自体は妥当な可能性が高い(自動チェックの限界))
rss	RSS::SyndicationModel	#	sy_updateFrequency=	not-found	クラス自体は存在するが直接の method_defined? では不在(mixin/append_features 由来と推定)。RSS::SyndicationModel を include する具象クラス(RSS::RDF::Channel)では実際に機能している= ドキュメント自体は妥当な可能性が高い(自動チェックの限界) / 4.0でも同様に not-found(クラス自体は存在するが直接の method_defined? では不在(mixin/append_features 由来と推定)。RSS::SyndicationModel を include する具象クラス(RSS::RDF::Channel)では実際に機能している= ドキュメント自体は妥当な可能性が高い(自動チェックの限界))
rss	RSS::SyndicationModel	#	sy_updatePeriod	not-found	クラス自体は存在するが直接の method_defined? では不在(mixin/append_features 由来と推定)。RSS::SyndicationModel を include する具象クラス(RSS::RDF::Channel)では実際に機能している= ドキュメント自体は妥当な可能性が高い(自動チェックの限界) / 4.0でも同様に not-found(クラス自体は存在するが直接の method_defined? では不在(mixin/append_features 由来と推定)。RSS::SyndicationModel を include する具象クラス(RSS::RDF::Channel)では実際に機能している= ドキュメント自体は妥当な可能性が高い(自動チェックの限界))
rss	RSS::SyndicationModel	#	sy_updatePeriod=	not-found	クラス自体は存在するが直接の method_defined? では不在(mixin/append_features 由来と推定)。RSS::SyndicationModel を include する具象クラス(RSS::RDF::Channel)では実際に機能している= ドキュメント自体は妥当な可能性が高い(自動チェックの限界) / 4.0でも同様に not-found(クラス自体は存在するが直接の method_defined? では不在(mixin/append_features 由来と推定)。RSS::SyndicationModel を include する具象クラス(RSS::RDF::Channel)では実際に機能している= ドキュメント自体は妥当な可能性が高い(自動チェックの限界))
rss	RSS::TaxonomyTopicModel	#	taxo_topic	not-found	クラス自体は存在するが直接の method_defined? では不在(mixin/append_features 由来と推定)。RSS::TaxonomyTopicModel を include する具象クラス(RSS::RDF)では実際に機能している= ドキュメント自体は妥当な可能性が高い(自動チェックの限界) / 4.0でも同様に not-found(クラス自体は存在するが直接の method_defined? では不在(mixin/append_features 由来と推定)。RSS::TaxonomyTopicModel を include する具象クラス(RSS::RDF)では実際に機能している= ドキュメント自体は妥当な可能性が高い(自動チェックの限界))
rss	RSS::TaxonomyTopicModel	#	taxo_topic=	not-found	クラス自体は存在するが直接の method_defined? では不在(mixin/append_features 由来と推定)。RSS::TaxonomyTopicModel を include する具象クラス(RSS::RDF)では実際に機能している= ドキュメント自体は妥当な可能性が高い(自動チェックの限界) / 4.0でも同様に not-found(クラス自体は存在するが直接の method_defined? では不在(mixin/append_features 由来と推定)。RSS::TaxonomyTopicModel を include する具象クラス(RSS::RDF)では実際に機能している= ドキュメント自体は妥当な可能性が高い(自動チェックの限界))
rss	RSS::TaxonomyTopicsModel	#	taxo_topics	not-found	クラス自体は存在するが直接の method_defined? では不在(mixin/append_features 由来と推定)。RSS::TaxonomyTopicsModel を include する具象クラス(RSS::TaxonomyTopicModel::TaxonomyTopic, RSS::RDF::Channel, RSS::RDF::Item)では実際に機能している= ドキュメント自体は妥当な可能性が高い(自動チェックの限界) / 4.0でも同様に not-found(クラス自体は存在するが直接の method_defined? では不在(mixin/append_features 由来と推定)。RSS::TaxonomyTopicsModel を include する具象クラス(RSS::RDF::Item, RSS::RDF::Channel, RSS::TaxonomyTopicModel::TaxonomyTopic)では実際に機能している= ドキュメント自体は妥当な可能性が高い(自動チェックの限界))
rubygems	Gem	::	DIRECTORIES	not-found	Gem は存在するが DIRECTORIES はどの形(instance/singleton/const)でも存在しない / 4.0でも同様に not-found(Gem は存在するが DIRECTORIES はどの形(instance/singleton/const)でも存在しない)
rubygems	Gem	::	RubyGemsPackageVersion	not-found	Gem は存在するが RubyGemsPackageVersion はどの形(instance/singleton/const)でも存在しない / 4.0でも同様に not-found(Gem は存在するが RubyGemsPackageVersion はどの形(instance/singleton/const)でも存在しない)
rubygems	Gem	.#	set_home	not-found	Gem 自身に綴り/構造の近いメソッドが存在(ドキュメントの誤字、またはメソッド名自体の変更(接頭辞付与など)の可能性): user_home / 4.0でも同様に not-found(Gem 自身に綴り/構造の近いメソッドが存在(ドキュメントの誤字、またはメソッド名自体の変更(接頭辞付与など)の可能性): user_home)
rubygems	Gem	.#	set_paths	not-found	Gem 自身に綴り/構造の近いメソッドが存在(ドキュメントの誤字、またはメソッド名自体の変更(接頭辞付与など)の可能性): use_paths, paths, paths= / 4.0でも同様に not-found(Gem 自身に綴り/構造の近いメソッドが存在(ドキュメントの誤字、またはメソッド名自体の変更(接頭辞付与など)の可能性): use_paths, paths, paths=)
rubygems	Gem	.#	source_index	not-found	Gem は存在するが source_index はどの形(instance/singleton/const)でも存在しない / 4.0でも同様に not-found(Gem は存在するが source_index はどの形(instance/singleton/const)でも存在しない)
rubygems	Gem::LoadError	#	version_requirement	not-found	Gem::LoadError 自身に綴り/構造の近いメソッドが存在(ドキュメントの誤字、またはメソッド名自体の変更(接頭辞付与など)の可能性): requirement, requirement= / 4.0でも同様に not-found(Gem::LoadError 自身に綴り/構造の近いメソッドが存在(ドキュメントの誤字、またはメソッド名自体の変更(接頭辞付与など)の可能性): requirement=, requirement)
